propagationModel,distance,duration,signalStrength,throughput
ns3::FriisPropagationLossModel,8,0,0,0
ns3::FriisPropagationLossModel,8,1,0,0
ns3::FriisPropagationLossModel,8,2,-52.7457,38.026
ns3::FriisPropagationLossModel,8,3,-52.7457,50.8866
ns3::FriisPropagationLossModel,8,4,-52.7457,57.2163
ns3::FriisPropagationLossModel,8,5,-52.7457,61.1254
ns3::FriisPropagationLossModel,8,6,-52.7457,63.6762
ns3::FriisPropagationLossModel,8,7,-52.7457,65.4695
ns3::FriisPropagationLossModel,8,8,-52.7457,66.8041
ns3::FriisPropagationLossModel,8,9,-52.7457,67.9171
ns3::FriisPropagationLossModel,8,10,-52.7457,68.7802
ns3::FriisPropagationLossModel,8,11,-52.7457,69.4692
ns3::FriisPropagationLossModel,8,12,-52.7457,70.0188
ns3::FriisPropagationLossModel,8,13,-52.7457,70.5538
ns3::FriisPropagationLossModel,8,14,-52.7457,70.96
ns3::FriisPropagationLossModel,8,15,-52.7457,71.3452
ns3::FriisPropagationLossModel,8,16,-52.7457,71.6549
ns3::FriisPropagationLossModel,8,17,-52.7457,71.9226
ns3::FriisPropagationLossModel,8,18,-52.7457,72.1993
ns3::FriisPropagationLossModel,8,19,-52.7457,72.4077
ns3::FriisPropagationLossModel,8,20,-52.7457,72.6171
ns3::FriisPropagationLossModel,8,21,-52.7457,72.7852
ns3::FriisPropagationLossModel,8,22,-52.7457,72.9449
ns3::FriisPropagationLossModel,8,23,-52.7457,73.0934
ns3::FriisPropagationLossModel,8,24,-52.7457,73.2393
ns3::FriisPropagationLossModel,8,25,-52.7457,73.3712
ns3::FriisPropagationLossModel,8,26,-52.7457,73.4866
ns3::FriisPropagationLossModel,8,27,-52.7457,73.6105
ns3::FriisPropagationLossModel,8,28,-52.7457,73.6956
ns3::FriisPropagationLossModel,8,29,-52.7457,73.7956
ns3::FriisPropagationLossModel,8,30,-52.7457,73.8988
ns3::FriisPropagationLossModel,8,31,-52.7457,73.979
ns3::FriisPropagationLossModel,8,32,-52.7457,74.0515
ns3::FriisPropagationLossModel,8,33,-52.7457,74.1193
ns3::FriisPropagationLossModel,8,34,-52.7457,74.1987
ns3::FriisPropagationLossModel,8,35,-52.7457,74.2588
ns3::FriisPropagationLossModel,8,36,-52.7457,74.3132
ns3::FriisPropagationLossModel,8,37,-52.7457,74.3672
ns3::FriisPropagationLossModel,8,38,-52.7457,74.4237
ns3::FriisPropagationLossModel,8,39,-52.7457,74.4851
ns3::FriisPropagationLossModel,8,40,-52.7457,74.529
ns3::FriisPropagationLossModel,8,41,-52.7457,74.5777
ns3::FriisPropagationLossModel,8,42,-52.7457,74.6128
ns3::FriisPropagationLossModel,8,43,-52.7457,74.6556
ns3::FriisPropagationLossModel,8,44,-52.7457,74.7048
ns3::FriisPropagationLossModel,8,45,-52.7457,74.7403
ns3::FriisPropagationLossModel,8,46,-52.7457,74.7742
ns3::FriisPropagationLossModel,8,47,-52.7457,74.8132
ns3::FriisPropagationLossModel,8,48,-52.7457,74.8518
ns3::FriisPropagationLossModel,8,49,-52.7457,74.8749
ns3::FriisPropagationLossModel,8,50,-52.7457,74.9126
ns3::FriisPropagationLossModel,8,51,-52.7457,74.9426
ns3::FriisPropagationLossModel,8,52,-52.7457,74.9735
ns3::FriisPropagationLossModel,8,53,-52.7457,74.9983
ns3::FriisPropagationLossModel,8,54,-52.7457,75.025
ns3::FriisPropagationLossModel,8,55,-52.7457,75.0523
ns3::FriisPropagationLossModel,8,56,-52.7457,75.0718
ns3::FriisPropagationLossModel,8,57,-52.7457,75.1
ns3::FriisPropagationLossModel,8,58,-52.7457,75.1234
ns3::FriisPropagationLossModel,8,59,-52.7457,75.1417
